contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260918C00300000,2026-08-17 18:21:48+00:00,300.0,474.56,467.47,470.89,0.0,0.0,49.0,712,1.5139184460449218,True,REGULAR,USD
SPY260918C00305000,2026-08-04 17:17:55+00:00,305.0,468.66,462.49,465.93,0.0,0.0,2.0,484,1.4941431542968748,True,REGULAR,USD
SPY260918C00310000,2026-05-14 13:59:13+00:00,310.0,436.37,443.75,447.02,0.0,0.0,4.0,319,1.0000000000000003e-05,True,REGULAR,USD
SPY260918C00315000,2026-03-06 20:35:15+00:00,315.0,361.14,0.0,0.0,0.0,0.0,75.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY260918C00320000,2026-06-17 18:00:42+00:00,320.0,430.29,415.09,419.63,0.0,0.0,1.0,137,1.0000000000000003e-05,True,REGULAR,USD
SPY260918C00325000,2026-08-07 18:34:46+00:00,325.0,447.87,442.56,445.97,0.0,0.0,30.0,96,1.4069853869628908,True,REGULAR,USD
SPY260918C00330000,2026-08-11 13:37:34+00:00,330.0,444.75,437.58,440.99,0.0,0.0,3.0,219,1.3869659558105467,True,REGULAR,USD
SPY260918C00335000,2026-02-06 18:44:40+00:00,335.0,360.23,330.29,333.71,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260918C00340000,2026-06-09 16:38:20+00:00,340.0,387.24,415.72,418.5,0.0,0.0,3.0,8,1.0000000000000003e-05,True,REGULAR,USD
SPY260918C00345000,2026-08-07 18:33:51+00:00,345.0,428.02,422.63,426.04,0.0,0.0,12.0,13,1.3266635229492185,True,REGULAR,USD
SPY260918C00350000,2026-08-07 19:59:29+00:00,350.0,425.06,417.65,421.06,0.0,0.0,14.0,18,1.307620649414062,True,REGULAR,USD
SPY260918C00355000,2026-08-07 19:59:29+00:00,355.0,420.1,412.66,416.08,0.0,0.0,2.0,13,1.2878453576660154,True,REGULAR,USD
SPY260918C00360000,2026-08-18 13:52:25+00:00,360.0,409.67,407.78,411.11,-4.3299866,-1.0458905,5.0,11,1.2758825268554683,True,REGULAR,USD
SPY260918C00365000,2026-08-06 18:18:13+00:00,365.0,405.87,402.7,406.11,0.0,0.0,10.0,10,1.2500037499999999,True,REGULAR,USD
SPY260918C00370000,2026-06-17 14:47:31+00:00,370.0,381.24,402.56,379.0,0.0,0.0,1.0,7,1.0000000000000003e-05,True,REGULAR,USD
SPY260918C00375000,2026-06-09 19:11:35+00:00,375.0,363.5,381.0,383.79,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY260918C00380000,2026-08-11 15:33:01+00:00,380.0,393.98,387.75,391.17,0.0,0.0,1.0,7,1.1950723840332032,True,REGULAR,USD
SPY260918C00385000,2026-08-14 18:46:29+00:00,385.0,392.54,382.77,386.2,0.0,0.0,36.0,132,1.1779826257324215,True,REGULAR,USD
SPY260918C00390000,2026-07-20 17:08:46+00:00,390.0,357.22,377.79,381.2,0.0,0.0,3.0,2,1.1591838916015624,True,REGULAR,USD
SPY260918C00395000,2026-08-14 17:01:05+00:00,395.0,382.27,372.81,376.23,0.0,0.0,1.0,50,1.1423382727050782,True,REGULAR,USD
SPY260918C00400000,2026-08-18 17:57:13+00:00,400.0,369.37,367.82,371.24,8.98999,2.4945862,10.0,745,1.1240278173828124,True,REGULAR,USD
SPY260918C00405000,2026-08-03 15:15:42+00:00,405.0,352.25,362.91,366.27,0.0,0.0,1.0,30,1.1110884289550782,True,REGULAR,USD
SPY260918C00410000,2026-08-11 14:41:05+00:00,410.0,365.31,357.86,361.27,0.0,0.0,5.0,20,1.0894820916748047,True,REGULAR,USD
