contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260918P00300000,2026-08-18 17:38:00+00:00,300.0,0.01,0.0,0.01,0.0,0.0,80.0,27835,0.87500125,False,REGULAR,USD
SPY260918P00305000,2026-08-17 13:30:05+00:00,305.0,0.01,0.0,0.01,0.0,0.0,5.0,8382,0.87500125,False,REGULAR,USD
SPY260918P00310000,2026-08-13 19:42:03+00:00,310.0,0.01,0.0,0.01,0.0,0.0,25.0,14915,0.8437515624999999,False,REGULAR,USD
SPY260918P00315000,2026-08-11 20:07:11+00:00,315.0,0.01,0.0,0.01,0.0,0.0,1400.0,5753,0.8437515624999999,False,REGULAR,USD
SPY260918P00320000,2026-08-17 18:33:19+00:00,320.0,0.01,0.0,0.01,0.0,0.0,4.0,4856,0.8281267187499999,False,REGULAR,USD
SPY260918P00325000,2026-08-14 14:58:21+00:00,325.0,0.01,0.0,0.01,0.0,0.0,1.0,5193,0.8125018749999999,False,REGULAR,USD
SPY260918P00330000,2026-08-17 18:33:24+00:00,330.0,0.01,0.0,0.01,0.0,0.0,104.0,8548,0.79687703125,False,REGULAR,USD
SPY260918P00335000,2026-08-18 18:41:13+00:00,335.0,0.01,0.0,0.01,0.0,0.0,3.0,4534,0.7812521875,False,REGULAR,USD
SPY260918P00340000,2026-08-13 14:41:35+00:00,340.0,0.01,0.0,0.01,0.0,0.0,10.0,1832,0.7656273437500001,False,REGULAR,USD
SPY260918P00345000,2026-08-18 14:17:18+00:00,345.0,0.01,0.0,0.01,0.0,0.0,1.0,2716,0.7500025,False,REGULAR,USD
SPY260918P00350000,2026-08-18 13:42:13+00:00,350.0,0.01,0.0,0.01,0.0,0.0,39.0,19369,0.7500025,False,REGULAR,USD
SPY260918P00355000,2026-08-17 19:40:33+00:00,355.0,0.01,0.01,0.02,0.0,0.0,10.0,12962,0.789064609375,False,REGULAR,USD
SPY260918P00360000,2026-08-17 17:34:05+00:00,360.0,0.02,0.01,0.02,0.0,0.0,18.0,27620,0.773439765625,False,REGULAR,USD
SPY260918P00365000,2026-08-11 19:33:53+00:00,365.0,0.02,0.01,0.02,0.0,0.0,3.0,16732,0.7578149218750001,False,REGULAR,USD
SPY260918P00370000,2026-08-12 19:35:41+00:00,370.0,0.03,0.01,0.02,0.0,0.0,70.0,21353,0.7500025,False,REGULAR,USD
SPY260918P00375000,2026-08-13 14:18:53+00:00,375.0,0.02,0.01,0.02,0.0,0.0,1.0,2497,0.73437765625,False,REGULAR,USD
SPY260918P00380000,2026-08-12 14:32:13+00:00,380.0,0.02,0.01,0.02,0.0,0.0,1459.0,2864,0.7187528125,False,REGULAR,USD
SPY260918P00385000,2026-08-12 14:01:19+00:00,385.0,0.02,0.01,0.02,0.0,0.0,5.0,912,0.710940390625,False,REGULAR,USD
